Type,Time(%),Time,Calls,Avg,Min,Max,Name
GPU activities,0.000922,0.00004,2.0,20.078,17.292,22.865,"gpu_setLearningRate(Neuron*, double, int)"
GPU activities,0.000652,0.000028,2.0,14.193,13.283,15.104,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000643,0.000028,2.0,14.01,13.021,15,[CUDA memcpy DtoD]
API calls,40.042415,8.522056,90012.0,94.676,8.229,7594.234,cudaDeviceSynchronize
API calls,28.134761,5.987801,60021.0,99.761,32.136,1021.787,cudaMemcpy
API calls,25.442522,5.414823,120081.0,45.093,29.428,910.952,cudaLaunchKernel
API calls,6.379702,1.357765,30081.0,45.136,15.834,350891.257,cudaMalloc
API calls,0.000505,0.000107,97.0,1.107,0.573,22.865,cuDeviceGetAttribute
API calls,0.000038,0.000008,1.0,8.021,8.021,8.021,cuDeviceTotalMem
API calls,0.000031,0.000007,3.0,2.222,1.302,3.021,cuDeviceGetCount
API calls,0.000014,0.000003,2.0,1.537,1.355,1.719,cuDeviceGet
API calls,0.000008,0.000002,1.0,1.771,1.771,1.771,cuDeviceGetName
API calls,0.000004,0.000001,1.0,0.833,0.833,0.833,cuDeviceGetUuid
,%,s,,us,us,us,
GPU activities,39.483063,1.705682,20002.0,85.275,80.835,109.065,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,11.969967,0.517107,10001.0,51.705,51.355,61.877,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,11.625295,0.502217,10001.0,50.216,49.636,57.45,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,8.489613,0.366754,20002.0,18.335,17.761,20.52,"gpu_updateWeights(Neuron*, int)"
GPU activities,6.951668,0.300314,20003.0,15.013,13.854,17.031,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,6.364529,0.27495,10001.0,27.492,26.406,31.98,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,6.194852,0.26762,20014.0,13.371,12.813,16.823,"gpu_setInt(int*, int)"
GPU activities,4.214625,0.182073,10001.0,18.205,18.074,21.822,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,3.09443,0.13368,30009.0,4.454,4.375,10.262,[CUDA memcpy DtoH]
GPU activities,1.593344,0.068833,30010.0,2.293,2.239,4.167,[CUDA memcpy HtoD]
GPU activities,0.01512,0.000653,50.0,13.063,12.812,15.833,"gpu_setDouble(double*, double)"
GPU activities,0.001242,0.000054,2.0,26.824,24.168,29.48,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.000922,0.00004,2.0,19.922,17.345,22.5,"gpu_setLearningRate(Neuron*, double, int)"
GPU activities,0.000673,0.000029,2.0,14.531,13.177,15.885,[CUDA memcpy DtoD]
GPU activities,0.000657,0.000028,2.0,14.194,13.283,15.106,"gpu_setValuesInArray(double, double*)"
API calls,39.756989,8.505279,90012.0,94.49,7.865,1599.765,cudaDeviceSynchronize
API calls,28.183881,6.029424,60021.0,100.455,34.532,999.391,cudaMemcpy
API calls,25.675411,5.492783,120081.0,45.742,29.375,1026.058,cudaLaunchKernel
API calls,6.383168,1.365562,30081.0,45.396,15.573,347214.222,cudaMalloc
API calls,0.000456,0.000098,97.0,1.006,0.521,22.135,cuDeviceGetAttribute
API calls,0.000039,0.000008,1.0,8.438,8.438,8.438,cuDeviceTotalMem
API calls,0.00003,0.000007,3.0,2.17,1.094,3.49,cuDeviceGetCount
API calls,0.000014,0.000003,2.0,1.484,1.042,1.927,cuDeviceGet
API calls,0.000007,0.000001,1.0,1.407,1.407,1.407,cuDeviceGetName
API calls,0.000004,0.000001,1.0,0.834,0.834,0.834,cuDeviceGetUuid
,%,s,,us,us,us,
GPU activities,39.396576,1.705474,20002.0,85.265,80.21,106.826,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,12.167194,0.526717,10001.0,52.666,52.188,61.408,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,11.697714,0.506393,10001.0,50.634,50.261,58.543,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,8.377176,0.362647,20002.0,18.13,17.448,20.574,"gpu_updateWeights(Neuron*, int)"
GPU activities,7.116781,0.308085,20003.0,15.401,14.375,17.135,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,6.270518,0.27145,10001.0,27.142,26.354,33.178,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,6.072839,0.262893,20014.0,13.135,12.708,16.614,"gpu_setInt(int*, int)"
