Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,87.394851,21.899147,20002.0,1.094847,0.103803,5.877481,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,5.647852,1.415222,20002.0,0.070754,0.006771,0.39386,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.786237,0.698167,20003.0,0.034903,0.005626,0.185003,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,0.978031,0.245072,10001.0,0.024504,0.022449,0.073647,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.749467,0.187799,151.0,1.243703,1.234289,1.254707,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.724542,0.181554,10001.0,0.018153,0.017239,0.060418,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.436438,0.109361,20908.0,0.00523,0.00427,0.016719,"gpu_setInt(int*, int)"
GPU activities,0.420508,0.10537,10001.0,0.010535,0.009531,0.032396,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.332715,0.083371,10001.0,0.008336,0.0075,0.023281,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.197035,0.049372,30456.0,0.001621,0.00151,0.006823,[CUDA memcpy DtoH]
GPU activities,0.196056,0.049127,3775.0,0.013013,0.012656,0.014896,"gpu_setDouble(double*, double)"
GPU activities,0.121626,0.030477,30308.0,0.001005,0.000729,0.07073,[CUDA memcpy HtoD]
GPU activities,0.008156,0.002044,151.0,0.013534,0.013021,0.016302,[CUDA memcpy DtoD]
GPU activities,0.006318,0.001583,151.0,0.010484,0.010364,0.013229,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000168,0.000042,2.0,0.021042,0.018594,0.02349,"gpu_setLearningRate(Neuron*, double, int)"
API calls,67.519077,27.221974,90012.0,0.302426,0.007083,7.635501,cudaDeviceSynchronize
API calls,16.420106,6.620169,124998.0,0.052962,0.029636,1.09319,cudaLaunchKernel
API calls,11.513843,4.642089,60915.0,0.076206,0.02849,1.483558,cudaMemcpy
API calls,4.546596,1.833072,35296.0,0.051934,0.017083,350.770929,cudaMalloc
API calls,0.000322,0.00013,97.0,0.001339,0.000781,0.025782,cuDeviceGetAttribute
API calls,0.000024,0.00001,1.0,0.009792,0.009792,0.009792,cuDeviceTotalMem
API calls,0.000015,0.000006,3.0,0.002031,0.001302,0.002917,cuDeviceGetCount
API calls,0.000008,0.000003,2.0,0.001693,0.001406,0.00198,cuDeviceGet
API calls,0.000006,0.000002,1.0,0.002291,0.002291,0.002291,cuDeviceGetName
API calls,0.000003,0.000001,1.0,0.001042,0.001042,0.001042,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,87.365169,17.748698,20002.0,0.887346,0.079272,5.883072,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,5.538591,1.125194,20002.0,0.056254,0.004791,0.395215,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.783395,0.565461,20003.0,0.028268,0.00427,0.184795,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,0.955688,0.194153,10001.0,0.019413,0.017344,0.074168,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.924277,0.187772,151.0,1.243521,1.233824,1.254502,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.71348,0.144947,10001.0,0.014493,0.013021,0.059896,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.443076,0.090013,20908.0,0.004305,0.003229,0.017552,"gpu_setInt(int*, int)"
GPU activities,0.381573,0.077519,10001.0,0.007751,0.006979,0.033072,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.316463,0.064291,10001.0,0.006428,0.005729,0.023334,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.241848,0.049133,3775.0,0.013015,0.012656,0.015677,"gpu_setDouble(double*, double)"
GPU activities,0.197996,0.040224,30456.0,0.00132,0.001145,0.007187,[CUDA memcpy DtoH]
GPU activities,0.120316,0.024443,30308.0,0.000806,0.00052,0.070731,[CUDA memcpy HtoD]
GPU activities,0.010129,0.002058,151.0,0.013627,0.013074,0.015937,[CUDA memcpy DtoD]
GPU activities,0.007798,0.001584,151.0,0.010492,0.010364,0.013489,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000202,0.000041,2.0,0.020495,0.018438,0.022553,"gpu_setLearningRate(Neuron*, double, int)"
API calls,62.786,22.881464,90012.0,0.254204,0.006615,16.735546,cudaDeviceSynchronize
API calls,18.53997,6.756628,124998.0,0.054053,0.027761,15.419541,cudaLaunchKernel
API calls,13.312291,4.851475,60915.0,0.079643,0.026302,14.4801,cudaMemcpy
API calls,5.361392,1.953883,35296.0,0.055357,0.016823,359.227763,cudaMalloc
API calls,0.000294,0.000107,97.0,0.001102,0.000625,0.023125,cuDeviceGetAttribute
API calls,0.000024,0.000009,1.0,0.008751,0.008751,0.008751,cuDeviceTotalMem
API calls,0.000014,0.000005,3.0,0.001736,0.001146,0.002552,cuDeviceGetCount
API calls,0.000008,0.000003,2.0,0.001511,0.001042,0.00198,cuDeviceGet
API calls,0.000005,0.000002,1.0,0.001719,0.001719,0.001719,cuDeviceGetName
API calls,0.000002,0.000001,1.0,0.000833,0.000833,0.000833,cuDeviceGetUuid
,%,s,,ms,us,ms,
GPU activities,87.568767,21.927384,20002.0,1.096259,103.804,3.027246,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,5.649725,1.414702,20002.0,0.070728,6.615,0.202399,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.79115,0.698909,20003.0,0.03494,5.468,0.095732,"gpu_setInputs(Neuron*, double*, int)"
