Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,59.738317,8.779521,201.0,43.679211,39.208867,481.019415,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,27.556389,4.049862,10001.0,0.404945,0.390165,0.44131,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,9.312791,1.368667,10001.0,0.136852,0.122762,0.167347,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,1.715435,0.252111,10001.0,0.025208,0.023333,0.038595,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,0.946305,0.139075,10001.0,0.013906,0.013073,0.017188,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.413856,0.060823,5025.0,0.012104,0.001041,0.016406,"gpu_setDouble(double*, double)"
GPU activities,0.206052,0.030283,201.0,0.15066,0.137866,1.658209,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.091549,0.013455,1206.0,0.011156,0.001458,0.018541,"gpu_setInt(int*, int)"
GPU activities,0.008824,0.001297,201.0,0.006451,0.005572,0.048647,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.005428,0.000798,603.0,0.001323,0.000677,0.009167,[CUDA memcpy DtoH]
GPU activities,0.003528,0.000519,203.0,0.002554,0.001823,0.074064,[CUDA memcpy DtoD]
GPU activities,0.001454,0.000214,405.0,0.000527,0.000208,0.096096,[CUDA memcpy HtoD]
GPU activities,0.000072,0.000011,2.0,0.005312,0.001666,0.008958,"gpu_setLearningRate(Neuron*, double, int)"
API calls,45.159234,9.043177,402.0,22.495465,0.004167,481.554565,cudaFree
API calls,22.588811,4.52343,10003.0,0.452207,0.011511,8.305211,cudaDeviceSynchronize
API calls,19.574379,3.919787,7246.0,0.540958,0.016302,361.705537,cudaMalloc
API calls,11.855363,2.374047,46840.0,0.050684,0.027292,1.090535,cudaLaunchKernel
API calls,0.643678,0.128897,1211.0,0.106438,0.039949,1.755283,cudaMemcpy
API calls,0.075774,0.015174,201.0,0.075491,0.038958,0.170002,cudaGetDeviceProperties
API calls,0.066884,0.013394,211.0,0.063476,0.030209,0.789177,cudaMallocHost
API calls,0.023696,0.004745,201.0,0.023607,0.017709,0.078439,cudaThreadSynchronize
API calls,0.005388,0.001079,201.0,0.005368,0.00375,0.081928,cudaGetDevice
API calls,0.005269,0.001055,804.0,0.001312,0.000677,0.037969,cudaGetLastError
API calls,0.001277,0.000256,191.0,0.001338,0.000625,0.036719,cuDeviceGetAttribute
API calls,0.000114,0.000023,2.0,0.01138,0.010157,0.012604,cuDeviceTotalMem
API calls,0.000043,0.000009,4.0,0.002135,0.001354,0.003334,cuDeviceGetCount
API calls,0.000026,0.000005,1.0,0.005156,0.005156,0.005156,cuInit
API calls,0.000023,0.000005,3.0,0.001545,0.001198,0.001979,cuDeviceGet
API calls,0.000021,0.000004,2.0,0.002083,0.001875,0.002291,cuDeviceGetName
API calls,0.000011,0.000002,1.0,0.002188,0.002188,0.002188,cuDriverGetVersion
API calls,0.00001,0.000002,2.0,0.000989,0.000937,0.001042,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,58.676667,8.389327,201.0,41.737947,38.8398,172.413215,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,28.413629,4.062454,10001.0,0.406204,0.391363,0.446781,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,9.397108,1.343556,10001.0,0.134342,0.12141,0.159222,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,1.788076,0.255651,10001.0,0.025562,0.023595,0.034272,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,0.985941,0.140965,10001.0,0.014095,0.013333,0.017343,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
