Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,60.507175,4.156256,101.0,41.151053,38.618263,150.436326,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,27.153589,1.865188,10001.0,0.1865,0.177192,0.204746,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,7.289319,0.500706,10001.0,0.050065,0.04198,0.064534,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,2.56671,0.176308,10001.0,0.017629,0.016146,0.022552,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,1.818023,0.124881,10001.0,0.012486,0.011875,0.016719,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.444528,0.030535,2525.0,0.012092,0.001041,0.015678,"gpu_setDouble(double*, double)"
GPU activities,0.10479,0.007198,101.0,0.071268,0.069585,0.094949,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.098155,0.006742,606.0,0.011125,0.001093,0.018073,"gpu_setInt(int*, int)"
GPU activities,0.007072,0.000486,101.0,0.004809,0.003906,0.00599,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.0055,0.000378,303.0,0.001246,0.000677,0.008594,[CUDA memcpy DtoH]
GPU activities,0.003397,0.000233,103.0,0.002265,0.001458,0.045157,[CUDA memcpy DtoD]
GPU activities,0.001642,0.000113,205.0,0.00055,0.000208,0.049168,[CUDA memcpy HtoD]
GPU activities,0.000099,0.000007,2.0,0.003411,0.002187,0.004636,"gpu_setLearningRate(Neuron*, double, int)"
API calls,42.238566,4.33464,202.0,21.458612,0.003437,151.021022,cudaFree
API calls,21.95341,2.25292,3646.0,0.617915,0.017292,364.417875,cudaMalloc
API calls,18.53638,1.902255,43440.0,0.04379,0.027448,3.843583,cudaLaunchKernel
API calls,16.355161,1.678412,10003.0,0.16779,0.012084,6.728303,cudaDeviceSynchronize
API calls,0.753005,0.077276,611.0,0.126473,0.030052,5.121514,cudaMemcpy
API calls,0.071048,0.007291,101.0,0.072189,0.048386,0.133907,cudaGetDeviceProperties
API calls,0.04896,0.005024,111.0,0.045264,0.027553,0.774384,cudaMallocHost
API calls,0.029004,0.002976,101.0,0.02947,0.021354,0.108595,cudaThreadSynchronize
API calls,0.005501,0.000564,404.0,0.001397,0.000677,0.002812,cudaGetLastError
API calls,0.005391,0.000553,101.0,0.005477,0.003334,0.053126,cudaGetDevice
API calls,0.003013,0.000309,191.0,0.001618,0.000625,0.04823,cuDeviceGetAttribute
API calls,0.000266,0.000027,2.0,0.013646,0.009688,0.017604,cuDeviceTotalMem
API calls,0.000087,0.000009,4.0,0.002239,0.00151,0.003802,cuDeviceGetCount
API calls,0.000066,0.000007,1.0,0.006823,0.006823,0.006823,cuInit
API calls,0.000045,0.000005,3.0,0.001545,0.001146,0.002083,cuDeviceGet
API calls,0.000042,0.000004,2.0,0.002135,0.001979,0.002292,cuDeviceGetName
API calls,0.000034,0.000003,1.0,0.003438,0.003438,0.003438,cuDriverGetVersion
API calls,0.000019,0.000002,2.0,0.000989,0.000886,0.001093,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,61.286342,4.374714,101.0,43.313997,38.775271,194.436682,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,26.134797,1.865542,10001.0,0.186535,0.176775,0.206359,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,7.859295,0.561009,10001.0,0.056095,0.044168,0.065887,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,2.343492,0.167282,10001.0,0.016726,0.01573,0.02698,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,1.730567,0.123531,10001.0,0.012351,0.011458,0.017761,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.428048,0.030555,2525.0,0.0121,0.001041,0.015677,"gpu_setDouble(double*, double)"
GPU activities,0.105226,0.007511,101.0,0.074367,0.070313,0.169222,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.094565,0.00675,606.0,0.011138,0.001302,0.01802,"gpu_setInt(int*, int)"
GPU activities,0.007033,0.000502,101.0,0.00497,0.00427,0.009115,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.005528,0.000395,303.0,0.001302,0.000677,0.008646,[CUDA memcpy DtoH]
GPU activities,0.003416,0.000244,103.0,0.002367,0.001666,0.045782,[CUDA memcpy DtoD]
GPU activities,0.001595,0.000114,205.0,0.000555,0.000208,0.049168,[CUDA memcpy HtoD]
GPU activities,0.000097,0.000007,2.0,0.003464,0.002188,0.004741,"gpu_setLearningRate(Neuron*, double, int)"
API calls,43.949521,4.55692,202.0,22.559011,0.003906,194.998159,cudaFree
API calls,20.589861,2.134866,3646.0,0.585536,0.017188,362.626272,cudaMalloc
API calls,18.280337,1.895403,43440.0,0.043632,0.028073,0.952771,cudaLaunchKernel
API calls,16.299987,1.690069,10003.0,0.168956,0.008281,1.973772,cudaDeviceSynchronize
API calls,0.70525,0.073124,611.0,0.119679,0.039375,0.58985,cudaMemcpy
API calls,0.074053,0.007678,101.0,0.076022,0.037657,0.158544,cudaGetDeviceProperties
API calls,0.064904,0.00673,111.0,0.060626,0.027344,0.788706,cudaMallocHost
API calls,0.023284,0.002414,101.0,0.023903,0.018698,0.075105,cudaThreadSynchronize
