Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,53.933042,12.265876,301.0,40.75042,38.488011,236.524268,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,29.394006,6.685016,10001.0,0.668434,0.629596,0.733817,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,13.524656,3.075883,10001.0,0.307557,0.262193,0.403029,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,1.733053,0.394144,10001.0,0.03941,0.035782,0.049168,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,0.629845,0.143244,10001.0,0.014323,0.013854,0.017395,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.400295,0.091038,7525.0,0.012098,0.001041,0.015781,"gpu_setDouble(double*, double)"
GPU activities,0.276375,0.062855,301.0,0.208821,0.205212,0.492771,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.088433,0.020112,1806.0,0.011136,0.001094,0.018073,"gpu_setInt(int*, int)"
GPU activities,0.010649,0.002422,301.0,0.008046,0.006927,0.014895,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.005171,0.001176,903.0,0.001302,0.000677,0.008594,[CUDA memcpy DtoH]
GPU activities,0.003289,0.000748,303.0,0.002468,0.001458,0.100523,[CUDA memcpy DtoD]
GPU activities,0.001134,0.000258,605.0,0.000426,0.000208,0.093595,[CUDA memcpy HtoD]
GPU activities,0.000052,0.000012,2.0,0.005859,0.001823,0.009896,"gpu_setLearningRate(Neuron*, double, int)"
API calls,41.79885,12.590362,602.0,20.914222,0.004323,237.088798,cudaFree
API calls,30.401431,9.15731,10003.0,0.915456,0.012552,3.881982,cudaDeviceSynchronize
API calls,18.875712,5.685612,10846.0,0.524212,0.017083,366.147773,cudaMalloc
API calls,7.964372,2.398973,50240.0,0.04775,0.027344,1.310487,cudaLaunchKernel
API calls,0.785952,0.236739,1811.0,0.130722,0.044063,0.521362,cudaMemcpy
API calls,0.075649,0.022786,301.0,0.075702,0.037396,0.165523,cudaGetDeviceProperties
API calls,0.062852,0.018932,311.0,0.060873,0.030521,0.798189,cudaMallocHost
API calls,0.023259,0.007006,301.0,0.023275,0.01901,0.031302,cudaThreadSynchronize
API calls,0.005482,0.001651,301.0,0.005486,0.003542,0.065522,cudaGetDevice
API calls,0.005475,0.001649,1204.0,0.001369,0.000729,0.057345,cudaGetLastError
API calls,0.000803,0.000242,191.0,0.001265,0.000625,0.038594,cuDeviceGetAttribute
API calls,0.000077,0.000023,2.0,0.011536,0.009375,0.013698,cuDeviceTotalMem
API calls,0.000027,0.000008,4.0,0.002018,0.001198,0.002708,cuDeviceGetCount
API calls,0.000019,0.000006,1.0,0.005573,0.005573,0.005573,cuInit
API calls,0.000013,0.000004,3.0,0.001319,0.000937,0.001719,cuDeviceGet
API calls,0.000012,0.000004,2.0,0.001823,0.001667,0.00198,cuDeviceGetName
API calls,0.00001,0.000003,1.0,0.002969,0.002969,0.002969,cuDriverGetVersion
API calls,0.000007,0.000002,2.0,0.000989,0.000989,0.00099,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,54.252179,12.24088,301.0,40.667373,38.616515,188.728526,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,29.322937,6.616113,10001.0,0.661545,0.619753,0.748713,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,13.543452,3.055799,10001.0,0.305549,0.25886,0.385841,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,1.451316,0.327459,10001.0,0.032742,0.030314,0.042501,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,0.639625,0.144318,10001.0,0.01443,0.013959,0.017709,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,0.403013,0.090932,7525.0,0.012083,0.001041,0.014844,"gpu_setDouble(double*, double)"
GPU activities,0.277341,0.062576,301.0,0.207894,0.205161,0.274485,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.088773,0.02003,1806.0,0.01109,0.001094,0.016927,"gpu_setInt(int*, int)"
GPU activities,0.011632,0.002625,301.0,0.008719,0.006927,0.263234,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.005226,0.001179,903.0,0.001305,0.000677,0.008646,[CUDA memcpy DtoH]
GPU activities,0.003303,0.000745,303.0,0.002459,0.001563,0.102606,[CUDA memcpy DtoD]
GPU activities,0.001144,0.000258,605.0,0.000426,0.000208,0.093804,[CUDA memcpy HtoD]
GPU activities,0.000058,0.000013,2.0,0.00651,0.001666,0.011355,"gpu_setLearningRate(Neuron*, double, int)"
API calls,41.86625,12.548268,602.0,20.844299,0.003958,189.250073,cudaFree
API calls,30.234329,9.061916,10003.0,0.905919,0.011198,5.504247,cudaDeviceSynchronize
API calls,19.061884,5.71328,10846.0,0.526763,0.016824,385.199094,cudaMalloc
API calls,7.860379,2.355934,50240.0,0.046893,0.027188,1.294863,cudaLaunchKernel
API calls,0.802471,0.240519,1811.0,0.132809,0.040417,0.46709,cudaMemcpy
API calls,0.075159,0.022527,301.0,0.07484,0.039063,0.15094,cudaGetDeviceProperties
API calls,0.064823,0.019429,311.0,0.062472,0.030417,0.783918,cudaMallocHost
API calls,0.023348,0.006998,301.0,0.023248,0.018438,0.085158,cudaThreadSynchronize
API calls,0.005249,0.001573,1204.0,0.001306,0.000677,0.00276,cudaGetLastError
API calls,0.005185,0.001554,301.0,0.005163,0.003542,0.015522,cudaGetDevice
API calls,0.000761,0.000228,191.0,0.001194,0.000625,0.038751,cuDeviceGetAttribute
API calls,0.00008,0.000024,2.0,0.011953,0.009011,0.014896,cuDeviceTotalMem
API calls,0.000024,0.000007,4.0,0.001797,0.001042,0.002969,cuDeviceGetCount
API calls,0.000019,0.000006,1.0,0.005781,0.005781,0.005781,cuInit
API calls,0.000014,0.000004,3.0,0.001406,0.001041,0.001979,cuDeviceGet
API calls,0.000011,0.000003,2.0,0.001718,0.00151,0.001927,cuDeviceGetName
