Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,us,ms,
GPU activities,87.489754,56.027925,20002.0,2.801116,74.532,11.395372,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.514219,4.812062,20002.0,0.240579,2.656,0.870847,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.979272,1.907909,20003.0,0.095381,1.979,0.378807,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,0.837269,0.536182,501.0,1.070223,815.427,4.124175,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.498325,0.319125,10001.0,0.031909,29.324,0.053751,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.239411,0.153317,12525.0,0.01224,2.552,0.015001,"gpu_setDouble(double*, double)"
GPU activities,0.156913,0.100486,10001.0,0.010047,8.646,0.028282,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.105747,0.06772,23008.0,0.002943,1.093,0.017448,"gpu_setInt(int*, int)"
GPU activities,0.081329,0.052083,10001.0,0.005207,4.635,0.013229,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.041698,0.026703,10001.0,0.00267,2.5,0.007553,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.026648,0.017065,31506.0,0.000541,0.416,0.006927,[CUDA memcpy DtoH]
GPU activities,0.024012,0.015377,31008.0,0.000495,0.26,0.142554,[CUDA memcpy HtoD]
GPU activities,0.002993,0.001917,501.0,0.003825,2.812,0.01651,[CUDA memcpy DtoD]
GPU activities,0.002386,0.001528,501.0,0.003049,2.24,0.013542,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000022,0.000014,2.0,0.007162,4.844,0.00948,"gpu_setLearningRate(Neuron*, double, int)"
API calls,79.976807,65.169627,90012.0,0.72401,6.354,11.515336,cudaDeviceSynchronize
API calls,10.899661,8.881661,136548.0,0.065044,29.115,1.273505,cudaLaunchKernel
API calls,6.292697,5.127645,63015.0,0.081371,27.396,4.212286,cudaMemcpy
API calls,2.830673,2.306592,47546.0,0.048512,16.562,358.816828,cudaMalloc
API calls,0.000138,0.000113,97.0,0.001161,0.625,0.024792,cuDeviceGetAttribute
API calls,0.00001,0.000008,1.0,0.008386,8.386,0.008386,cuDeviceTotalMem
API calls,0.000007,0.000006,3.0,0.001909,1.198,0.002813,cuDeviceGetCount
API calls,0.000004,0.000003,2.0,0.001536,1.146,0.001927,cuDeviceGet
API calls,0.000002,0.000001,1.0,0.001459,1.459,0.001459,cuDeviceGetName
API calls,0.000001,0.000001,1.0,0.00099,0.99,0.00099,cuDeviceGetUuid
,%,s,,ms,us,ms,
GPU activities,87.458748,56.278192,20002.0,2.813628,74.636,11.423764,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.516797,4.836929,20002.0,0.241822,2.656,0.872305,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.97685,1.915551,20003.0,0.095763,1.719,0.379017,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,0.819862,0.527567,501.0,1.053027,815.428,4.124541,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.542618,0.349165,10001.0,0.034913,32.761,0.055157,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.238186,0.153269,12525.0,0.012237,2.552,0.014843,"gpu_setDouble(double*, double)"
GPU activities,0.173311,0.111523,10001.0,0.011151,9.739,0.030104,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.097679,0.062855,23008.0,0.002731,1.093,0.018334,"gpu_setInt(int*, int)"
GPU activities,0.073984,0.047608,10001.0,0.00476,4.583,0.013906,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.044519,0.028647,10001.0,0.002864,2.76,0.007656,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.026972,0.017356,31506.0,0.00055,0.416,0.006875,[CUDA memcpy DtoH]
GPU activities,0.025202,0.016217,31008.0,0.000522,0.26,0.142659,[CUDA memcpy HtoD]
GPU activities,0.002921,0.00188,501.0,0.003751,2.813,0.016458,[CUDA memcpy DtoD]
GPU activities,0.002331,0.0015,501.0,0.002993,2.24,0.013646,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000021,0.000013,2.0,0.006641,4.427,0.008855,"gpu_setLearningRate(Neuron*, double, int)"
API calls,80.119782,65.389972,90012.0,0.726458,6.354,11.572801,cudaDeviceSynchronize
API calls,10.87337,8.874329,136548.0,0.06499,29.375,1.130952,cudaLaunchKernel
API calls,6.16735,5.033499,63015.0,0.079877,26.771,4.510316,cudaMemcpy
API calls,2.839348,2.317341,47546.0,0.048738,16.875,357.962007,cudaMalloc
API calls,0.000124,0.000101,97.0,0.001039,0.573,0.021146,cuDeviceGetAttribute
API calls,0.000012,0.000009,1.0,0.009427,9.427,0.009427,cuDeviceTotalMem
API calls,0.000007,0.000006,3.0,0.002031,1.406,0.002708,cuDeviceGetCount
API calls,0.000004,0.000003,2.0,0.001536,1.042,0.002031,cuDeviceGet
API calls,0.000003,0.000002,1.0,0.002083,2.083,0.002083,cuDeviceGetName
API calls,0.000001,0.000001,1.0,0.000885,0.885,0.000885,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,87.246464,56.370148,20002.0,2.818225,0.074636,13.924957,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.464417,4.822777,20002.0,0.241114,0.002656,1.076578,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.940802,1.900059,20003.0,0.094988,0.001927,0.472039,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,1.187465,0.767224,501.0,1.531384,1.019286,4.124647,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.489538,0.316292,10001.0,0.031626,0.028906,0.069897,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.239596,0.154804,12525.0,0.012359,0.003177,0.015886,"gpu_setDouble(double*, double)"
GPU activities,0.151747,0.098044,10001.0,0.009803,0.008073,0.034687,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.099479,0.064273,23008.0,0.002793,0.001041,0.016718,"gpu_setInt(int*, int)"
GPU activities,0.078015,0.050406,10001.0,0.00504,0.004583,0.016198,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.040714,0.026305,10001.0,0.00263,0.0025,0.009427,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.028358,0.018322,31506.0,0.000581,0.000416,0.006876,[CUDA memcpy DtoH]
GPU activities,0.025637,0.016564,31008.0,0.000534,0.00026,0.142764,[CUDA memcpy HtoD]
GPU activities,0.004371,0.002824,501.0,0.005637,0.003646,0.016511,[CUDA memcpy DtoD]
GPU activities,0.003374,0.00218,501.0,0.004351,0.002812,0.014792,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000024,0.000016,2.0,0.007812,0.005572,0.010052,"gpu_setLearningRate(Neuron*, double, int)"
API calls,79.298874,67.428088,90012.0,0.749101,0.006354,21.377858,cudaDeviceSynchronize
API calls,10.638716,9.046134,136548.0,0.066248,0.028646,14.567444,cudaLaunchKernel
API calls,6.861051,5.833974,63015.0,0.09258,0.025625,17.628164,cudaMemcpy
API calls,3.201217,2.722005,47546.0,0.057249,0.015886,346.894095,cudaMalloc
API calls,0.000119,0.000101,97.0,0.001039,0.00052,0.022188,cuDeviceGetAttribute
API calls,0.000011,0.000009,1.0,0.008959,0.008959,0.008959,cuDeviceTotalMem
API calls,0.000007,0.000006,3.0,0.001857,0.00125,0.002812,cuDeviceGetCount
API calls,0.000003,0.000003,2.0,0.001276,0.000781,0.001771,cuDeviceGet
API calls,0.000002,0.000002,1.0,0.001927,0.001927,0.001927,cuDeviceGetName
