Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,s,,ms,ms,ms,
GPU activities,86.675595,23.14933,20002.0,1.15735,0.047917,10.196804,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.169662,1.914874,20002.0,0.095734,0.001927,0.768925,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.926377,0.781577,20003.0,0.039072,0.001666,0.345112,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,1.527346,0.407924,301.0,1.355228,1.22482,2.483444,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.53137,0.141918,10001.0,0.01419,0.012083,0.052032,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.353362,0.094376,7525.0,0.012541,0.006354,0.015886,"gpu_setDouble(double*, double)"
GPU activities,0.1963,0.052428,10001.0,0.005242,0.004583,0.030364,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.19525,0.052147,10001.0,0.005214,0.004375,0.019063,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.194698,0.052,21808.0,0.002384,0.001093,0.01823,"gpu_setInt(int*, int)"
GPU activities,0.099894,0.02668,10001.0,0.002667,0.002344,0.017083,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.066611,0.017791,30906.0,0.000575,0.000416,0.006823,[CUDA memcpy DtoH]
GPU activities,0.048178,0.012868,30608.0,0.00042,0.00026,0.0912,[CUDA memcpy HtoD]
GPU activities,0.008555,0.002285,301.0,0.007591,0.006666,0.015625,[CUDA memcpy DtoD]
GPU activities,0.00671,0.001792,301.0,0.005953,0.00526,0.013074,"gpu_setValuesInArray(double, double*)"
GPU activities,0.00009,0.000024,2.0,0.012006,0.009845,0.014168,"gpu_setLearningRate(Neuron*, double, int)"
API calls,67.251599,28.939649,90012.0,0.321508,0.00625,17.151902,cudaDeviceSynchronize
API calls,16.552691,7.122939,129948.0,0.054813,0.028438,10.534583,cudaLaunchKernel
API calls,11.006705,4.736396,61815.0,0.076622,0.026302,16.12709,cudaMemcpy
API calls,5.188726,2.232808,40546.0,0.055068,0.01625,357.651513,cudaMalloc
API calls,0.000232,0.0001,97.0,0.001028,0.000573,0.022396,cuDeviceGetAttribute
API calls,0.00002,0.000009,1.0,0.008802,0.008802,0.008802,cuDeviceTotalMem
API calls,0.000015,0.000006,3.0,0.002083,0.00125,0.003333,cuDeviceGetCount
API calls,0.000007,0.000003,2.0,0.001406,0.001042,0.001771,cuDeviceGet
API calls,0.000004,0.000002,1.0,0.001719,0.001719,0.001719,cuDeviceGetName
API calls,0.000002,0.000001,1.0,0.000834,0.000834,0.000834,cuDeviceGetUuid
,%,s,,ms,ms,ms,
GPU activities,86.498952,22.846202,20002.0,1.142195,0.047866,10.183163,"gpu_calcOutputs(Neuron*, int*)"
GPU activities,7.207157,1.903562,20002.0,0.095168,0.001927,0.764082,"gpu_updateWeights(Neuron*, int)"
GPU activities,2.931494,0.77427,20003.0,0.038707,0.00177,0.343134,"gpu_setInputs(Neuron*, double*, int)"
GPU activities,1.592494,0.420611,301.0,1.397379,1.224613,2.485372,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.581696,0.153638,10001.0,0.015362,0.013073,0.051252,"gpu_propErrorBackwards(Neuron*, double*, int)"
GPU activities,0.357857,0.094518,7525.0,0.01256,0.006354,0.015,"gpu_setDouble(double*, double)"
GPU activities,0.203956,0.053869,10001.0,0.005386,0.004687,0.017136,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,0.202045,0.053364,10001.0,0.005335,0.004739,0.030885,"gpu_setBackwardError(Neuron*, double, int)"
GPU activities,0.194137,0.051276,21808.0,0.002351,0.001041,0.018282,"gpu_setInt(int*, int)"
GPU activities,0.09912,0.02618,10001.0,0.002617,0.002292,0.017135,"gpu_calcErrorWeightProductSum(Neuron*, int, int, double*)"
GPU activities,0.067416,0.017806,30906.0,0.000576,0.000416,0.007188,[CUDA memcpy DtoH]
GPU activities,0.047711,0.012602,30608.0,0.000411,0.00026,0.091148,[CUDA memcpy HtoD]
GPU activities,0.008846,0.002337,301.0,0.007762,0.006667,0.015312,[CUDA memcpy DtoD]
