Type,Time(%),Time,Calls,Avg,Min,Max,Name
,%,ms,,ms,ms,ms,
GPU activities,36.258998,229.761242,2.0,114.880621,52.896185,176.865057,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
GPU activities,24.473999,155.083611,10001.0,0.015506,0.014739,0.027033,"gpu_calcErrorWeightProductSum_less_blocks_final_layer_lms(Neuron*, Neuron*, int, int, double*, double*, int, int, double)"
GPU activities,18.528913,117.411573,10001.0,0.011739,0.011093,0.021513,"gpu_calcOutputs_and_PropInputs_less_blocks(Neuron*, int*, int, double*, int, double*, double*, int, int, int)"
GPU activities,16.894527,107.05501,10001.0,0.010704,0.010208,0.019481,"gpu_calcOutputs_less_blocks_final_layer(Neuron*, int*, int, double*, double*, int, int, int)"
GPU activities,3.712465,23.524656,10001.0,0.002352,0.002239,0.003229,"gpu_updateWeights_first_layer_less_blocks(Neuron*, int, double*)"
GPU activities,0.095877,0.60754,50.0,0.01215,0.001406,0.014689,"gpu_setDouble(double*, double)"
GPU activities,0.022202,0.140685,12.0,0.011723,0.001459,0.018439,"gpu_setInt(int*, int)"
GPU activities,0.005055,0.032032,4.0,0.008008,0.002032,0.014739,[CUDA memcpy DtoD]
GPU activities,0.002458,0.015573,6.0,0.002595,0.000886,0.009011,[CUDA memcpy DtoH]
GPU activities,0.002228,0.014116,7.0,0.002016,0.00026,0.004011,[CUDA memcpy HtoD]
GPU activities,0.001216,0.007708,2.0,0.003854,0.003281,0.004427,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.001175,0.007448,2.0,0.003724,0.003542,0.003906,"void gen_sequenced<curandStateXORWOW, double, int, __operator_&__(double curand_uniform_double_noargs<curandStateXORWOW>(curandStateXORWOW*, int)), rng_config<curandStateXORWOW>>(curandStateXORWOW*, double*, unsigned long, unsigned long, int)"
GPU activities,0.000888,0.005625,2.0,0.002812,0.002188,0.003437,"gpu_setLearningRate(Neuron*, double, int)"
API calls,64.332383,1819.634291,40074.0,0.045406,0.031719,2.869502,cudaLaunchKernel
API calls,13.932846,394.089003,82.0,4.805963,0.016719,360.352809,cudaMalloc
API calls,12.35327,349.410854,4.0,87.352713,0.004219,177.397036,cudaFree
API calls,9.25717,261.838008,10003.0,0.026175,0.008178,0.853861,cudaDeviceSynchronize
API calls,0.06934,1.961267,17.0,0.115368,0.038542,0.2212,cudaMemcpy
API calls,0.039292,1.111362,12.0,0.092613,0.021199,0.786256,cudaMallocHost
API calls,0.007719,0.218332,191.0,0.001143,0.000572,0.032448,cuDeviceGetAttribute
API calls,0.003633,0.102761,2.0,0.05138,0.038333,0.064428,cudaGetDeviceProperties
API calls,0.001685,0.047657,2.0,0.023828,0.022084,0.025573,cudaThreadSynchronize
API calls,0.000711,0.020105,2.0,0.010052,0.004115,0.01599,cudaGetDevice
API calls,0.000685,0.019375,2.0,0.009687,0.008229,0.011146,cuDeviceTotalMem
API calls,0.000414,0.01172,8.0,0.001465,0.001042,0.002031,cudaGetLastError
API calls,0.00028,0.007916,4.0,0.001979,0.00125,0.003281,cuDeviceGetCount
API calls,0.000173,0.004896,1.0,0.004896,0.004896,0.004896,cuInit
API calls,0.000153,0.004323,3.0,0.001441,0.00099,0.002292,cuDeviceGet
API calls,0.000107,0.003021,2.0,0.00151,0.001458,0.001563,cuDeviceGetName
API calls,0.000072,0.002032,1.0,0.002032,0.002032,0.002032,cuDriverGetVersion
API calls,0.000068,0.001927,2.0,0.000963,0.000937,0.00099,cuDeviceGetUuid
,%,ms,,ms,ms,ms,
GPU activities,35.946284,167.908172,2.0,83.954086,53.523807,114.384365,"generate_seed_pseudo(__int64, __int64, __int64, curandOrdering, curandStateXORWOW*, unsigned int*)"
